LONG,LAT,C(km3),V2,RSR
-1.736458,38.169533,0.0112,0.678261331,0.48
-2.260219,38.189636,0.01,0.580191344,0.89
-0.865245,39.343892,0.0375,0.767629665,0.19
-96.161815,36.530647,0.137,1.87552778,0.578
-100.219447,40.378902,0.2394,2.486334671,0.334
-85.14375,36.867817,7.5107,1.005404827,0.0106
-123.989583,48.498853,0.02,0.349228777,1.06
-89.600885,39.186514,0.0548,0.877059103,0.8783
-72.767708,44.382775,0.1085,0.711935499,0.04
-83.469937,37.338027,0.2071,0.671592842,0.1134
1.295131,42.093695,0.1011,0.38452325,0.3972
33.518378,39.271529,5.98,1.310904212,0.74
-114.19101,50.196758,0.0163,0.520340386,0.2446
-4.671874,38.043831,0.1474,1.267792672,0.1238
-118.1848628,34.29387779,0.0071,0.417440531,2.307432528
21.196284,51.017995,0.0355,0.631921796,0.14
-0.160542,40.030957,0.0197,0.422349261,0.16
-1.86875,38.50625,0.0333,0.775675819,0.03
-98.05608,34.239978,1.1539,2.817587612,1.448
-94.506269,32.752105,2.4654,1.654218498,0.471
-97.483244,42.850337,0.6661,0.149081956,0.518
-118.396083,34.33457923,0.0047,0.581995045,1.049269652
-2.901042,37.765597,0.0547,1.879531522,0.2931
-118.396083,34.33457923,0.0047,0.581995045,1.0493
-0.317708,40.767471,0.0525,1.402785172,0.0254
73.644471,33.143972,9.12,0.726828255,0.43
-113.31552,46.559087,0.0077,0.465664214,0.0345
-83.807292,35.453399,1.7799,0.66590828,0.0354
-80.88598845,37.63903528,0.7783,0.346007821,0.052
-95.046645,36.384733,0.0893,0.569169823,0.3317
19.200416,49.806736,0.0266,0.242579343,0.21
-4.086249,39.797405,0.0181,1.08896345,0.18
-117.640916,33.891276,0.0028,0.048429957,0.201107595
120.369704,23.202297,0.1477,1.423596696,0.6
103.345182,35.932132,6.12,0.526324345,1.17
78.476042,30.37459,3.54,0.833412829,0.1426
-97.677083,32.773196,0.0463,1.132854619,0.4001
-97.207292,31.899559,0.4439,2.045555539,0.403
-90.15352206,38.86999168,0.2936,0.050904907,0.618981285
-5.209026,37.903617,0.347,1.4602815,0.03
-76.876639,39.119224,0.0271,0.394845086,0.2702
104.733939,29.095213,0.03,0.57175613,1.6
-3.555577,41.525641,0.0581,0.858621254,0.1
8.026789243,35.97750029,0.155,0.9439531,0.021
-85.94413128,36.29221982,0.3835,0.188143879,0.1556
-90.960078,43.536942,0.0018,0.819451937,0.1965
-116.705346,33.662039,0.0173,1.034096494,0.342
-79.505208,40.713054,0.0056,0.111427484,0.06677272
-111.597917,40.919468,0.0593,0.863649688,0.4589
28.315625,38.615304,1.32,1.31347062,0.73
21.057292,50.631994,0.0206,0.551973104,0.05
-93.172917,35.251912,0.5997,0.127638526,0.5871
-118.792708,45.605278,0.0836,1.007040748,0.0181
-82.324353,40.624274,0.1082,0.784631619,0.05
104.617126,29.599895,0.1,0.884303344,0.59
-89.792634,34.407344,3.7202,1.059535898,0.0636
-118.1848628,34.29387779,0.007696915,0.417440531,2.3074
-113.31552,46.559087,0.0077,0.465664214,0.034540485
-106.317485,35.61975,0.8906,0.679795596,0.046
